,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15,cond_num,grade_num,view_num,bed/bath,avg_fl_space,water_bool,base_bool,renovate_bool,City,Population_x,city_pop,98002,98003,98004,98005,98006,98007,98008,98010,98011,98014,98019,98022,98023,98024,98027,98028,98029,98030,98031,98032,98033,98034,98038,98039,98040,98042,98045,98052,98053,98055,98056,98058,98059,98065,98070,98072,98074,98075,98077,98092,98102,98103,98105,98106,98107,98108,98109,98112,98115,98116,98117,98118,98119,98122,98125,98126,98133,98136,98144,98146,98148,98155,98166,98168,98177,98178,98188,98198,98199
0,538000.0,3.0,2.25,2570.0,7242.0,2.0,NO,2170.0,400.0,1951,1991,98125,1690.0,7639.0,2,4,0,1.3333333333333333,1085.0,0,1,1,Seattle,37081,837792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,604000.0,4.0,3.0,1960.0,5000.0,1.0,NO,1050.0,910.0,1965,0,98136,1360.0,5000.0,4,4,0,1.3333333333333333,1050.0,0,1,0,Seattle,14770,837792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,510000.0,3.0,2.0,1680.0,8080.0,1.0,NO,1680.0,0.0,1987,0,98074,1800.0,7503.0,2,5,0,1.5,1680.0,0,0,0,Sammamish,25748,46463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1230000.0,4.0,4.5,5420.0,101930.0,1.0,NO,3890.0,1530.0,2001,0,98053,4760.0,101930.0,2,8,0,0.8888888888888888,3890.0,0,1,0,Redmond,18784,77226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,229500.0,3.0,1.0,1780.0,7470.0,1.0,NO,1050.0,730.0,1960,0,98146,1780.0,8113.0,2,4,0,3.0,1050.0,0,1,0,Seattle,25922,837792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,323000.0,3.0,2.5,1890.0,6560.0,2.0,NO,1890.0,0.0,2003,0,98038,2390.0,7570.0,2,5,0,1.2,945.0,0,0,0,Maple Valley,31171,31171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,468000.0,2.0,1.0,1160.0,6000.0,1.0,NO,860.0,300.0,1942,0,98115,1330.0,6000.0,3,4,0,2.0,860.0,0,1,0,Seattle,46206,837792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,400000.0,3.0,1.75,1370.0,9680.0,1.0,NO,1370.0,0.0,1977,0,98074,1370.0,10208.0,2,4,0,1.7142857142857142,1370.0,0,0,0,Sammamish,25748,46463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,530000.0,5.0,2.0,1810.0,4850.0,1.0,NO,1810.0,0.0,1900,0,98107,1360.0,4850.0,2,6,3,2.5,1206.6666666666667,0,0,0,Seattle,21147,837792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,650000.0,4.0,3.0,2950.0,5000.0,2.0,NO,1980.0,970.0,1979,0,98126,2140.0,4000.0,2,4,0,1.3333333333333333,990.0,0,1,0,Seattle,20698,837792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,395000.0,3.0,2.0,1890.0,14040.0,2.0,NO,1890.0,0.0,1994,0,98019,1890.0,14018.0,3,4,0,1.5,945.0,0,0,0,Duvall,10725,10725,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,485000.0,4.0,1.0,1600.0,4300.0,1.0,NO,1600.0,0.0,1916,0,98103,1610.0,4300.0,3,4,0,4.0,1066.6666666666667,0,0,0,Seattle,45911,837792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,230000.0,3.0,1.0,1250.0,9774.0,1.0,NO,1250.0,0.0,1969,0,98003,1280.0,8850.0,3,4,0,3.0,1250.0,0,0,0,Federal Way,44151,91661,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,385000.0,4.0,1.75,1620.0,4980.0,1.0,NO,860.0,760.0,1947,0,98133,1400.0,4980.0,2,6,4,2.2857142857142856,860.0,0,1,0,Seattle,44555,837792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,2000000.0,3.0,2.75,3050.0,44867.0,1.0,NO,2330.0,720.0,1968,0,98040,4110.0,20336.0,2,5,0,1.0909090909090908,2330.0,0,1,0,Mercer Island,22699,22699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,285000.0,5.0,2.5,2270.0,6300.0,2.0,NO,2270.0,0.0,1995,0,98092,2240.0,7005.0,2,4,0,2.0,1135.0,0,0,0,Auburn,39816,103374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,329000.0,3.0,2.25,2450.0,6500.0,2.0,NO,2450.0,0.0,1985,0,98030,2200.0,6865.0,4,3,0,1.3333333333333333,1225.0,0,0,0,Kent,33769,147876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,233000.0,3.0,2.0,1710.0,4697.0,1.0,NO,1710.0,0.0,1941,0,98002,1030.0,4705.0,2,5,0,1.5,1140.0,0,0,0,Auburn,31647,103374,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,667000.0,3.0,1.0,1400.0,1581.0,1.0,NO,1400.0,0.0,1909,0,98112,1860.0,3861.0,2,4,0,3.0,933.3333333333334,0,0,0,Seattle,21077,837792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,719000.0,4.0,2.5,2570.0,7173.0,2.0,NO,2570.0,0.0,2005,0,98052,2630.0,6026.0,2,5,0,1.6,1285.0,0,0,0,Redmond,58442,77226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,580500.0,3.0,2.5,2320.0,3980.0,2.0,NO,2320.0,0.0,2003,0,98027,2580.0,3980.0,2,4,0,1.2,1160.0,0,0,0,Issaquah,26141,50489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,280000.0,2.0,1.5,1190.0,1265.0,3.0,NO,1190.0,0.0,2005,0,98133,1390.0,1756.0,3,4,0,1.3333333333333333,396.6666666666667,0,0,0,Seattle,44555,837792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,687500.0,4.0,1.75,2330.0,5000.0,1.0,NO,1510.0,820.0,1929,0,98117,1460.0,5000.0,3,5,0,2.2857142857142856,1006.6666666666666,0,1,0,Seattle,31365,837792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,535000.0,3.0,1.0,1090.0,3000.0,1.0,NO,1090.0,0.0,1929,0,98117,1570.0,5080.0,2,4,0,3.0,726.6666666666666,0,0,0,Seattle,31365,837792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,322500.0,4.0,2.75,2060.0,6659.0,1.0,NO,1280.0,780.0,1981,0,98058,2020.0,8720.0,2,5,0,1.4545454545454546,1280.0,0,1,0,Renton,41938,141407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,696000.0,3.0,2.5,2300.0,3060.0,1.0,NO,1510.0,790.0,1930,2002,98115,1590.0,3264.0,0,2,0,1.2,1006.6666666666666,0,1,1,Seattle,46206,837792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,550000.0,4.0,1.0,1660.0,34848.0,1.0,NO,930.0,730.0,1933,0,98052,2160.0,11467.0,3,5,0,4.0,930.0,0,1,0,Redmond,58442,77226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,640000.0,4.0,2.0,2360.0,6000.0,2.0,NO,2360.0,0.0,1904,0,98107,1730.0,4700.0,1,4,0,2.0,1180.0,0,0,0,Seattle,21147,837792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
