,ZIP Code,Classification,City,Population,Timezone,Area Code(s)
0,ZIP Code 98001,General,Auburn,"31,911",Pacific,253
1,ZIP Code 98002,General,Auburn,"31,647",Pacific,253
2,ZIP Code 98003,General,Federal Way,"44,151",Pacific,253
3,ZIP Code 98004,General,Bellevue,"27,946",Pacific,425
4,ZIP Code 98005,General,Bellevue,"17,714",Pacific,425
5,ZIP Code 98006,General,Bellevue,"36,364",Pacific,425
6,ZIP Code 98007,General,Bellevue,"24,889",Pacific,425
7,ZIP Code 98008,General,Bellevue,"24,411",Pacific,425
8,ZIP Code 98009,P.O. Box,Bellevue,0,Pacific,425
9,ZIP Code 98010,General,Black Diamond,"5,025",Pacific,360/564
10,ZIP Code 98011,General,Bothell,"29,212",Pacific,425
11,ZIP Code 98013,P.O. Box,Burton,0,Pacific,206
12,ZIP Code 98014,General,Carnation,"6,765",Pacific,425
13,ZIP Code 98015,P.O. Box,Bellevue,0,Pacific,425
14,ZIP Code 98019,General,Duvall,"10,725",Pacific,425
15,ZIP Code 98022,General,Enumclaw,"20,987",Pacific,360/564
16,ZIP Code 98023,General,Federal Way,"47,510",Pacific,253
17,ZIP Code 98024,General,Fall City,"5,650",Pacific,425
18,ZIP Code 98025,P.O. Box,Hobart,0,Pacific,425
19,ZIP Code 98027,General,Issaquah,"26,141",Pacific,425
20,ZIP Code 98028,General,Kenmore,"20,419",Pacific,425
21,ZIP Code 98029,General,Issaquah,"24,348",Pacific,425
22,ZIP Code 98030,General,Kent,"33,769",Pacific,253
23,ZIP Code 98031,General,Kent,"36,581",Pacific,253/425
24,ZIP Code 98032,General,Kent,"33,853",Pacific,253/425
25,ZIP Code 98033,General,Kirkland,"34,338",Pacific,425/206
26,ZIP Code 98034,General,Kirkland,"40,407",Pacific,425/206
27,ZIP Code 98035,P.O. Box,Kent,0,Pacific,253/425
28,ZIP Code 98038,General,Maple Valley,"31,171",Pacific,425
29,ZIP Code 98039,General,Medina,"2,971",Pacific,425
30,ZIP Code 98040,General,Mercer Island,"22,699",Pacific,206
31,ZIP Code 98041,P.O. Box,Bothell,0,Pacific,425
32,ZIP Code 98042,General,Kent,"43,673",Pacific,253/425
33,ZIP Code 98045,General,North Bend,"13,888",Pacific,425
34,ZIP Code 98047,General,Pacific,"6,339",Pacific,253
35,ZIP Code 98050,P.O. Box,Preston,322,Pacific,425
36,ZIP Code 98051,General,Ravensdale,"3,270",Pacific,360/564
37,ZIP Code 98052,General,Redmond,"58,442",Pacific,206/425
